ADMIN,ISO_A3,ADM0_A3,Health Care Spending(Per Capita USD),Health Care Spending (PPP),Life Expectancy,"Maternal Mortality Rate (per 100,000 births)",Infant Mortality Rate (1000 births),Population (2014)
Aruba,ABW,ABW,,,,,,
Afghanistan,AFG,AFG,57,167,60,425,68,31627506
Angola,AGO,AGO,,,,,,
Anguilla,AIA,AIA,,,,,,
Albania,ALB,ALB,272.2,,,,,
Aland,ALA,ALD,,,,,,
Andorra,AND,AND,3746,,,,,
United Arab Emirates,ARE,ARE,1611,2405,77,6,6,9086139
Argentina,ARG,ARG,605.2,1137,76,54,12,42980026
Armenia,ARM,ARM,161.6,362,75,26,13,3006154
American Samoa,ASM,ASM,,,,,,
Antarctica,ATA,ATA,,,,,,
Ashmore and Cartier Islands,-99,ATC,,,,,,
French Southern and Antarctic Lands,ATF,ATF,,,,,,
Antigua and Barbuda,ATG,ATG,773.7,1208,,76,6,90900
Australia,AUS,AUS,6031,4357,82,6,3,23470118
Austria,AUT,AUT,5580,5039,81,4,3,8545908
Azerbaijan,AZE,AZE,471.4,1047,71,26,29,9525079
Burundi,BDI,BDI,22,58,57,737,56,10816860
Belgium,BEL,BEL,4884,4392,81,7,3,11231213
Benin,BEN,BEN,37.89,86,60,414,66,10598482
Burkina Faso,BFA,BFA,35.2,82,59,379,62,17589198
Bangladesh,BGD,BGD,30.83,88,72,188,32,159077513
Bulgaria,BGR,BGR,662,1399,75,11,10,7223938
Bahrain,BHR,BHR,1243,2273,77,15,6,1361930
The Bahamas,BHS,BHS,1720,1819,75,83,10,383054
Bosnia and Herzegovina,BIH,BIH,463.6,957,76,12,5,3817554
Bajo Nuevo Bank (Petrel Is.),-99,BJN,,,,,,
Saint Barthelemy,BLM,BLM,,,,,,
Belarus,BLR,BLR,450.2,1031,73,4,4,9470000
Belize,BLZ,BLZ,278.6,489,70,28,15,351706
Bermuda,BMU,BMU,,,,,,
Bolivia,BOL,BOL,208.8,427,68,215,32,10561887
Brazil,BRA,BRA,947.4,1318,74,46,14,206077898
Barbados,BRB,BRB,1146,1014,75,28,12,283380
Brunei,BRN,BRN,957.6,1778,79,23,9,417394
Bhutan,BTN,BTN,88.79,281,69,156,28,765008
Botswana,BWA,BWA,385,871,64,134,36,2219937
Central African Republic,CAF,CAF,15.59,25,51,872,94,4804316
Canada,CAN,CAN,5292,4641,82,7,4,35543658
Switzerland,CHE,CHE,9674,6468,83,5,4,8188102
Chile,CHL,CHL,1137,1749,81,23,7,17762647
China,CHN,CHN,419.7,731,76,28,10,1364270000
Ivory Coast,CIV,CIV,88,187,52,665,69,22157107
Clipperton Island,-99,CLP,,,,,,
Cameroon,CMR,CMR,58.65,122,55,609,59,22773014
Cyprus No Mans Area,-99,CNM,,,,,,
Democratic Republic of the Congo,COD,COD,12,20,59,717,77,74877030
Republic of Congo,COG,COG,162,323,62,452,34,4504962
Cook Islands,COK,COK,,,,,,
Colombia,COL,COL,569.2,962,74,66,114,47791393
Comoros,COM,COM,57,101,63,344,57,769991
Cape Verde,CPV,CPV,172.2,310,73,44,21,513906
Costa Rica,CRI,CRI,970,1389,79,26,9,4757606
Coral Sea Islands,-99,CSI,,,,,,
Cuba,CUB,CUB,817,2475,79,40,4,11379111
Cura̤ao,CUW,CUW,,,,,,
Cayman Islands,CYM,CYM,,,,,,
Northern Cyprus,-99,CYN,,,,,,
Cyprus,CYP,CYP,1819,2062,80,7,3,1153658
Czech Republic,CZE,CZE,1379,2146,78,4,3,1052347
Germany,DEU,DEU,5411,5182,81,6,3,80970732
Djibouti,DJI,DJI,191,338,62,237,56,876174
Dominica,DMA,DMA,408,587,,,20,72341
Denmark,DNK,DNK,6463,4782,81,7,3,5638530
Dominican Republic,DOM,DOM,269,580,74,98,26,10405943
Algeria,DZA,DZA,361.7,932,75,141,22,38934334
Ecuador,ECU,ECU,579,1040,76,66,19,15902916
Egypt,EGY,EGY,178,594,71,34,21,89579670
Eritrea,ERI,ERI,25,51,64,524,35,511044
Dhekelia Sovereign Base Area,-99,ESB,,,,,,
Spain,ESP,ESP,2658,2966,83,5,4,46476032
Estonia,EST,EST,1248,1668,77,9,3,1314545
Ethiopia,ETH,ETH,27,73,64,378,43,96958732
Finland,FIN,FIN,4612,3701,81,3,2,5461512
Fiji,FJI,FJI,204,364,70,31,19,886450
Falkland Islands,FLK,FLK,,,,,,
France,FRA,FRA,4959,4508,82,9,4,66217509
Faroe Islands,FRO,FRO,,,,,,
Federated States of Micronesia,FSM,FSM,415,473,69,102,29,104044
Gabon,GAB,GAB,321,599,64,295,37,1687673
United Kingdom,GBR,GBR,3935,3377,81,9,4,64559135
Georgia,GEO,GEO,303,628,75,37,11,3727000
Guernsey,GGY,GGY,,,,,,
